invoice_id,vendor,posting_date,due_date,amount
INV-0001,NextGen Office Solutions,2025-10-18,2025-11-17,5015.14
INV-0002,Sunrise Stationery,2025-05-24,2025-06-08,2153.3
INV-0003,Kaveri Suppliers,2025-03-22,2025-04-21,3051.88
INV-0004,Orion IT Consulting,2025-02-22,2025-04-08,1195.59
INV-0005,Orion IT Consulting,2025-05-16,2025-05-31,50540.61
INV-0006,Global Freight Co,2025-02-10,2025-03-27,54029.16
INV-0007,Apex Maintenance Ltd,2025-04-09,2025-05-09,26603.85
INV-0008,Prime Facility Services,2025-02-22,2025-04-23,6914.88
INV-0009,Prime Facility Services,2025-08-21,2025-10-05,9682.05
INV-0010,Orion IT Consulting,2025-04-18,2025-05-03,9850.21
INV-0011,Apex Maintenance Ltd,2025-03-31,2025-05-30,33568.38
INV-0012,Global Freight Co,2025-05-19,2025-06-18,47399.99
INV-0013,Orion IT Consulting,2025-01-29,2025-03-15,9516.02
INV-0014,Global Freight Co,2025-05-19,2025-07-03,56959.76
INV-0015,NextGen Office Solutions,2025-09-15,2025-11-14,9956.36
INV-0016,Kaveri Suppliers,2025-05-16,2025-06-30,9871.75
INV-0017,Apex Maintenance Ltd,2025-08-08,2025-10-07,7233.67
INV-0018,Orion IT Consulting,2025-04-23,2025-05-23,7979.94
INV-0019,Sunrise Stationery,2025-09-10,2025-09-25,1181.82
INV-0020,Bright Logistics Pvt Ltd,2025-03-20,2025-05-19,5205.85
INV-0021,Apex Maintenance Ltd,2025-02-03,2025-04-04,3385.75
INV-0022,Sunrise Stationery,2025-05-09,2025-05-24,7783.09
INV-0023,Bright Logistics Pvt Ltd,2025-10-02,2025-11-16,6131.58
INV-0024,Bright Logistics Pvt Ltd,2025-06-02,2025-08-01,3760.74
INV-0025,Sundar Traders,2025-05-15,2025-06-14,7789.16
INV-0026,Sunrise Stationery,2025-02-24,2025-04-10,7028.89
INV-0027,Sunrise Stationery,2025-04-14,2025-05-14,1646.29
INV-0028,Sunrise Stationery,2025-09-29,2025-11-13,7388.7
INV-0029,Metro Print Works,2025-01-10,2025-02-24,1339.01
INV-0030,Prime Facility Services,2025-05-05,2025-05-20,934.44
INV-0031,Bright Logistics Pvt Ltd,2025-09-08,2025-10-08,6620.17
INV-0032,Kaveri Suppliers,2025-09-01,2025-10-01,7601.37
INV-0033,Prime Facility Services,2025-09-29,2025-11-28,7043.25
INV-0034,NextGen Office Solutions,2025-10-06,2025-11-05,6164.49
INV-0035,Prime Facility Services,2025-07-24,2025-09-07,7963.62
INV-0036,Metro Print Works,2025-09-22,2025-10-22,3886.15
INV-0037,NextGen Office Solutions,2025-02-03,2025-03-05,3035.64
INV-0038,Apex Maintenance Ltd,2025-04-23,2025-05-08,553.93
INV-0039,Bright Logistics Pvt Ltd,2025-06-02,2025-08-01,3760.74
INV-0040,Sunrise Stationery,2025-09-10,2025-09-25,1181.82
